"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Carroll, Corbin",682998,2024,404,17.6,10.4,0.284,0.303,25.1,3.8,36.2,100.2132167,94.18683021,20,42.5
"Merrill, Jackson",701538,2024,350,17.4,4.3,0.322,0.349,38.5,8.1,43.6,100.594332,94.63141244,19.9,55.8
"Nimmo, Brandon",607043,2024,399,24.3,12.3,0.358,0.373,38,12.4,50.8,102.1618564,95.85725533,24.8,43.5
"Raleigh, Cal",663728,2024,358,33,10.3,0.315,0.337,35.8,16.4,54.2,103.1594048,96.4805053,30.5,51.5
"Arenado, Nolan",571448,2024,379,14.8,6.6,0.31,0.295,37.9,3.1,28,96.03211612,92.04355423,19,45.3
"Bichette, Bo",666182,2024,327,19,6.1,0.264,0.306,31.8,4.5,43.9,101.0465815,94.8825113,21.6,56.3
"Verdugo, Alex",657077,2024,394,15.2,7.6,0.293,0.31,31.7,5.6,36.3,98.07522913,93.09805857,16.4,44.9
"Langeliers, Shea",669127,2024,313,29.1,6.1,0.298,0.332,34.5,15.5,46.5,102.5899078,95.80567775,30.5,50.4
"Lindor, Francisco",596019,2024,431,16.9,8.4,0.341,0.374,34.5,13.7,46.6,100.6740375,94.87599811,22,47.9
"Volpe, Anthony",683011,2024,440,21.1,6.6,0.293,0.29,34.1,4.1,36,98.14450549,93.21118053,22.4,48.5
"McMahon, Ryan",641857,2024,408,28.2,10.3,0.347,0.348,36.8,12.6,54.3,103.7167967,96.98634788,28.9,47.3
"Joe, Connor",656582,2024,300,19.7,9.7,0.318,0.293,35,5.3,32.5,98.20059922,93.13433293,22.7,42.7
"Gorman, Nolan",669357,2024,344,37.5,9,0.3,0.311,39.3,16.4,37.9,100.4617638,94.27667302,39.2,50.3
"Thomas, Lane",657041,2024,302,21.9,7.9,0.315,0.333,33.7,7.2,42.3,100.572493,94.51288688,20,42.6
"Burger, Jake",669394,2024,302,26.8,5.3,0.276,0.292,26.8,10.2,43.9,102.8939576,95.65935706,29.6,53.8
"Semien, Marcus",543760,2024,425,13.6,8.9,0.309,0.328,35.4,6.4,33.2,97.50748417,92.81771153,19.6,49.6
"Pages, Andy",681624,2024,313,24.3,5.4,0.308,0.317,37.7,10.2,41.9,100.4241367,94.30460444,26,52.8
"Arozarena, Randy",668227,2024,379,24.5,11.1,0.301,0.327,26,9.4,41.7,100.6721385,94.54115291,30.5,42.2
"Neto, Zach",687263,2024,345,23.2,4.9,0.319,0.312,29,8.3,35.7,100.0075506,94.15468604,26.8,51.9
"Crawford, J.P.",641487,2024,322,22.4,11.8,0.296,0.319,31.8,8.1,39.8,99.28450221,93.79213464,19.4,40.8
"Doyle, Brenton",686668,2024,377,24.9,8.8,0.351,0.343,36.8,10.9,42.1,101.2516251,94.82565079,28.8,50.1
"Vaughn, Andrew",683734,2024,368,23.1,6.3,0.3,0.326,36.9,9.8,44.3,101.1012066,94.80296722,23.2,49.3
"Steer, Spencer",668715,2024,398,20.4,11.1,0.34,0.334,35.6,7.5,41.2,99.62976308,94.00187436,21.2,44.4
"Torres, Gleyber",650402,2024,380,22.6,9.5,0.291,0.294,35.7,6.3,34.9,97.86964457,93.09484012,25.4,46.2
"Castro, Willi",650489,2024,386,22.8,8.3,0.342,0.329,36.1,6.7,38.9,99.21126008,93.69733737,28.6,50.2
"Canha, Mark",592192,2024,341,19.1,11.1,0.304,0.293,31.1,3.5,37.7,98.17233588,93.19948206,22.3,40.3
"Kwan, Steven",680757,2024,308,8.1,7.5,0.4,0.346,40.9,1.9,23,94.96017048,91.49395012,6.5,40
"Garver, Mitch",641598,2024,318,30.2,12.6,0.289,0.293,32.8,9,39,99.62466386,93.96922153,31.9,38.1
"Taveras, Leody",665750,2024,333,19.5,8.7,0.282,0.313,33.1,5.4,40.6,100.0957784,94.2203426,24.8,48
"Alonso, Pete",624413,2024,411,20.7,9,0.333,0.334,30,11.7,41.3,101.3760648,94.78794883,22,44.4
"Rooker Jr., Brent",667670,2024,344,32.6,10.5,0.399,0.386,42,17.6,50.8,103.9807886,96.69622557,34.8,48.1
"Kim, Ha-Seong",673490,2024,378,15.6,12.7,0.309,0.322,35.3,5.2,36.8,98.74337992,93.47080778,16,37.3
"Harper, Bryce",547180,2024,357,21.3,14.8,0.413,0.386,38.6,12.3,47.4,102.7791383,95.79645978,28.5,51.2
"Bleday, JJ",668709,2024,391,19.2,10.5,0.318,0.329,38.3,8,36.1,99.32207618,93.74626901,25.4,44.9
"Happ, Ian",664023,2024,381,26.8,13.1,0.353,0.347,36.6,12.5,43.3,101.5049634,95.16127973,27.5,45
"Candelario, Jeimer",600869,2024,352,24.1,6.5,0.326,0.289,35,7.5,34.2,97.67831625,92.84520117,29.1,52.6
